Nazwy;il.kandydatow;prog;sr.wiek
Bieñkowice;15;15;49,93
Biskupin - Sêpolno - D¹bie - Bartoszowice;29;21;48,59
Borek;26;15;44,00
Brochów;24;15;50,21
Gaj;32;15;54,38
Gajowice;29;21;53,97
G¹dów - Popowice P³d.;26;21;52,81
Grabiszyn - Grabiszynek;39;15;46,54
Huby;25;21;47,04
Jagodno;20;15;44,05
Jerzmanowo - Jarno³tów - Strachowice - Osiniec;18;15;55,72
Kar³owice - Ró¿anka;48;21;41,90
Klecina;27;15;52,00
Kleczków;18;15;46,61
Kowale;19;15;44,05
Krzyki - Partynice;38;15;48,74
Ksiê¿e;19;15;48,95
KuŸniki;17;15;57,76
Leœnica;30;21;47,37
Lipa Piotrowska;18;15;46,22
Maœlice;35;15;39,37
Muchobór Ma³y;19;15;43,68
Muchobór Wielki;29;15;39,45
Nadodrze;37;21;46,16
Nowy Dwór;22;15;48,59
O³bin;50;21;44,52
O³taszyn;26;15;53,69
Oporów;16;15;41,00
Osobowice - Rêdzin;24;15;40,33
Paw³owice;23;15;44,74
Pilczyce - Kozanów - Popowice P³n.;37;21;56,51
Plac Grunwaldzki;26;15;56,88
Polanowice - Poœwiêtne - Ligota;27;15;56,22
Powstañców Œl¹skich;29;21;51,93
Pracze Odrzañskie;16;15;58,19
Przedmieœcie O³awskie;66;21;42,06
Przedmieœcie Œwidnickie;32;15;53,75
Psie Pole - Zawidawie;29;21;41,97
So³tysowice;17;15;39,12
Stare Miasto;34;15;46,09
Strachocin - Swojczyce - Wojnów;17;15;46,65
Szczepin;44;21;50,05
Œwiniary;15;15;41,53
Tarnogaj;20;15;51,50
Widawa;21;15;38,62
Wojszyce;32;15;57,38
Zacisze - Zalesie - Szczytniki;24;15;50,13
¯erniki;21;15;50,05
