;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
BieÒkowice;BABIJ ANDRZEJ CZES£AW ;66;WYØSZE ; 
BieÒkowice;GABRYLUK J”ZEF  ;64;ZAWODOWE ; 
BieÒkowice;HORNIK MA£GORZATA  ;60;WYØSZE ; 
BieÒkowice;KOZ£OWSKA-KEMPA JOANNA ELØBIETA ;36;WYØSZE ; 
BieÒkowice;KRAWCZYSZYN GRZEGORZ  ;33;WYØSZE ; 
BieÒkowice;KUå ADAM KRZYSZTOF ;51;WYØSZE ; 
BieÒkowice;MARTIN ALEKSANDER  ;70;åREDNIE ; 
BieÒkowice;MARTIN JACEK ALEKSANDER ;25;åREDNIE ; 
BieÒkowice;MISIECZKO W£ODZIMIERZ MAREK ;60;ZAWODOWE ; 
BieÒkowice;PAPIERNIK RAJMUND JACEK ;51;WYØSZE ; 
BieÒkowice;PAW£OWSKA DOMINIKA  ;32;WYØSZE ; 
BieÒkowice;SICI—SKI ANDRZEJ ZBIGNIEW ;73;WYØSZE ; 
BieÒkowice;STEFANIK JOLANTA MARIA ;68;WYØSZE ; 
BieÒkowice;WASILEWSKI MARCIN  ;36;åREDNIE ; 
BieÒkowice;WYSOCKI ANDRZEJ MICHA£ ;24;WYØSZE ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;BOBI—SKI MARCIN  ;39;INFORMATYK ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;CIOK ALEKSANDER HENRYK ;68;WYØSZE ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;DUDZIUK-DUDZIK ANNA  ;43;URBANISTA ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;GROSS-MAZURSKA JOWITA ANNA ;44;ARCHITEKT ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;HORBACZEWSKI JAKUB BART£OMIEJ ;35;DZIENNIKARZ ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;JANUSZ MATEUSZ ZBIGNIEW ;20;STUDENT INFORMATYKI ;BEZPARTYJNY WROC£AW 
Biskupin - SÍpolno - Dπbie - Bartoszowice;J DRYCHOWSKA IWONA ZOFIA ;64;BIOCHEMIK ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;KRZYSZKOWSKA BARBARA BRONIS£AWA ;65;NAUCZYCIEL ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;MAZURSKI ARTUR WOJCIECH ;45;PRZEDSI BIORCA ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;OKONEK-KA—CZUKOWSKA KATARZYNA ANNA ;42;ADWOKAT ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;PAPUSZKA LESZEK  ;59;TECHNIK MECHANIK ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;WAWRZYNOWICZ PAWE£ KORDIAN ;52;RENOWATOR ZABYTK”W ;S POLNO WSP”LNE DOBRO 
Biskupin - SÍpolno - Dπbie - Bartoszowice;ADAMCZYK GRZEGORZ LESZEK ;37;INFORMATYK ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;DAC JANUSZ STANIS£AW ;68;MGR INØ. MECHANIKI ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;DUDA£A DAMIAN WOJCIECH ;36;MENAGER ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;JAWORSKA GRAØYNA MAGDALENA ;56;NAUCZYCIEL ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;JUROWICZ IGNACY MIECZYS£AW ;69;PROGRAMISTA ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;KA£UØA J DRZEJ JERZY ;37;SPECJALISTA DS. SPRZEDAØY ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;KORONA KAROLINA  ;30;WYØSZE EKONOMICZNE ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;KOSENDIAK SEBASTIAN JAN ;36;PEDAGOG RESOCJALIZACJI ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;KUBIT AGNIESZKA  ;36;MGR INØ. ARCHITEKTURY ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;MAZUR MARIA JOANNA ;81; ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;BANACH RYSZARD FRANCISZEK ;65;DR INØ.NAUK TECHNICZNYCH ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;CHMIELAK BOGDAN MARIAN ;67;PEDAGOG ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;DOKOWICZ OLGA JOANNA ;40;MGR PRAWA ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;FEDAK £UKASZ ANDRZEJ ;18;UCZE— LICEUM ; 
Biskupin - SÍpolno - Dπbie - Bartoszowice;FRANCUZ ELØBIETA  ;63;MGR BIOLOGII ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;WO£ODKO MACIEJ  ;36;SPECJALISTA DS. MARKETINGU;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Biskupin - SÍpolno - Dπbie - Bartoszowice;ØUCZKOWSKI JAN PIOTR ;58;ARCHITEKT ;FORUM OBYWATELSKIE WIELKIEJ WYSPY 
Borek;BARSKA EWA MA£GORZATA ;59;ARCHITEKT ; 
Borek;CZEKAJ MI£OS£AW ALEKSANDER ;46;PRACOWNIK BIUROWY ; 
Borek;FURTAK ADAM ALEKSANDER ;43;WYØSZE ;#LEPSZYBOREK#LEPSZYWROC£AW 
Borek;HOLAK ANICETA MARIA ;66;WYØSZE ; 
Borek;MALITOWSKI £UKASZ W£ADYS£AW ;24;STUDENT PRAWA ;PRZYJAZNE OSIEDLE- BEZPARTYJNY WROC£AW 
Borek;MATKOWSKI MAREK DANIEL ;40;INØYNIER BUDOWNICTWA ; 
Borek;MATUSIAK FILIP  ;35;ELEKTRONIK ;STOWARZYSZENIE AKCJA MIASTO 
Borek;PALACZ PIOTR ZBIGNIEW ;31;WYØSZE ; 
Borek;ROGALA STANIS£AW  ;78;EMERYT ; 
Borek;SINIOR MARIUSZ ROBERT ;39;WYØSZE ;#LEPSZYBOREK#LEPSZYWROC£AW 
Borek;SZPALA JADWIGA  ;71;EMERYT ; 
Borek;TURALSKI TOMASZ KRZYSZTOF ;22;STUDENT ; 
Borek;BRONOWICKI PIOTR  ;52;WYØSZE ; 
Borek;DUDEK TYTUS KACPER ;31;WYØSZE ; 
Borek;DUDZI—SKI GERARD JAKUB ;39;WYØSZE ; 
Borek;HAMKA£O JACEK  ;35;POLITOLOG ;BEZPARTYJNY WROC£AW 
Borek;JANECZKO DOMINIK MAREK ;21;STUDENT ; 
Borek;KAMI—SKI KRZYSZTOF DARIUSZ ;50;WYØSZE ; 
Borek;LEåNIAK MAREK  ;50;EMERYT ; 
Borek;MIKULSKA AGNIESZKA  ;46;WYØSZE ; 
